"Table 1. Per Capita Personal Income by County, 2017 - 2019",,,,,,,
,Per capita personal income1,,,,Percent change from preceding period,,
,Dollars,,,Rank in State,Percent change,,Rank in State
Washington,"58,223","61,951","64,043",1,6.4,3.4,19
Wheeler,"34,685","37,038","39,368",34,6.8,6.3,3
Yamhill,"43,543","45,846","47,494",11,5.3,3.6,11
,,,,,,,
Pennsylvania,"53,306","56,032","58,032",--,5.1,3.6,--
Adams,"46,786","48,379","50,182",20,3.4,3.7,23
Allegheny,"59,068","63,722","65,784",5,7.9,3.2,48
Armstrong,"42,486","45,168","46,925",31,6.3,3.9,11
Beaver,"46,010","48,805","50,600",19,6.1,3.7,29
Bedford,"40,414","41,957","43,426",53,3.8,3.5,36
Berks,"47,629","49,439","51,299",18,3.8,3.8,19
Blair,"44,330","46,539","48,277",25,5.0,3.7,21
Bradford,"39,454","40,992","43,187",57,3.9,5.4,1
Bucks,"69,780","73,037","75,864",3,4.7,3.9,13
Butler,"55,781","58,293","60,493",6,4.5,3.8,16
Cambria,"40,817","43,445","45,107",44,6.4,3.8,14
Cameron,"45,586","48,112","47,470",28,5.5,-1.3,67
Carbon,"48,312","51,202","53,053",15,6.0,3.6,31
Centre,"44,720","45,866","47,564",27,2.6,3.7,27
Chester,"79,143","84,409","87,557",1,6.7,3.7,22
Clarion,"39,151","41,060","42,281",59,4.9,3.0,57
Clearfield,"42,622","44,789","46,253",36,5.1,3.3,45
Clinton,"37,967","39,429","40,669",64,3.9,3.1,53
Columbia,"40,743","42,376","43,793",51,4.0,3.3,43
Crawford,"38,538","40,705","42,237",60,5.6,3.8,18
Cumberland,"52,831","54,808","56,540",11,3.7,3.2,51
Dauphin,"48,794","51,107","52,716",16,4.7,3.1,52
Delaware,"62,959","67,208","69,740",4,6.7,3.8,17
Elk,"45,966","48,492","49,141",22,5.5,1.3,66
Erie,"42,524","45,038","46,379",33,5.9,3.0,56
Fayette,"40,442","42,289","43,835",48,4.6,3.7,30
Forest,"21,524","22,959","24,113",67,6.7,5.0,2
Franklin,"44,264","46,298","47,934",26,4.6,3.5,35
Fulton,"42,061","44,634","45,774",40,6.1,2.6,64
Greene,"42,132","43,649","45,161",43,3.6,3.5,37
Huntingdon,"36,339","37,962","39,371",66,4.5,3.7,24
Indiana,"37,750","40,003","41,503",62,6.0,3.7,20
Jefferson,"41,493","44,335","45,855",39,6.8,3.4,41
Juniata,"43,565","44,831","46,258",35,2.9,3.2,49
Lackawanna,"45,504","47,515","48,967",23,4.4,3.1,55
Lancaster,"50,115","52,591","54,314",13,4.9,3.3,44
Lawrence,"41,376","43,705","45,252",41,5.6,3.5,34
Lebanon,"46,104","47,557","48,924",24,3.2,2.9,60
Lehigh,"50,804","52,433","54,471",12,3.2,3.9,12
Luzerne,"43,121","45,031","46,363",34,4.4,3.0,58
Lycoming,"41,766","43,571","44,941",45,4.3,3.1,54
McKean,"42,840","44,157","44,774",46,3.1,1.4,65
Mercer,"40,580","42,519","43,682",52,4.8,2.7,62
Mifflin,"37,795","39,356","40,641",65,4.1,3.3,46
Monroe,"40,507","42,267","43,823",49,4.3,3.7,28
Montgomery,"75,699","79,051","82,037",2,4.4,3.8,15
Montour,"55,475","57,241","58,872",8,3.2,2.8,61
Northampton,"52,009","54,705","56,931",10,5.2,4.1,8
Northumberland,"39,986","41,849","43,289",55,4.7,3.4,39
Perry,"42,853","44,673","46,212",37,4.2,3.4,38
Philadelphia,"53,255","55,457","57,265",9,4.1,3.3,47
Pike,"45,531","47,775","49,873",21,4.9,4.4,5
Potter,"40,434","44,063","45,887",38,9.0,4.1,7
Schuylkill,"40,750","42,481","44,055",47,4.2,3.7,26
Snyder,"40,383","41,956","43,286",56,3.9,3.2,50
Somerset,"39,845","41,424","43,103",58,4.0,4.1,9
Sullivan,"43,618","46,098","47,455",29,5.7,2.9,59
Susquehanna,"42,730","44,871","46,737",32,5.0,4.2,6
Tioga,"38,561","40,078","41,990",61,3.9,4.8,3
Union,"39,446","40,301","41,400",63,2.2,2.7,63
Venango,"39,670","41,970","43,822",50,5.8,4.4,4
Warren,"40,326","41,911","43,401",54,3.9,3.6,33
Washington,"55,849","58,291","60,295",7,4.4,3.4,40
Wayne,"41,520","43,605","45,221",42,5.0,3.7,25
Westmoreland,"49,232","51,712","53,740",14,5.0,3.9,10
Wyoming,"42,168","45,462","47,099",30,7.8,3.6,32
York,"47,965","49,888","51,585",17,4.0,3.4,42
,,,,,,,
Rhode Island,"52,644","54,431","56,361",--,3.4,3.5,--
Bristol,"75,428","76,489","78,975",1,1.4,3.3,5
Kent,"57,195","58,636","60,874",4,2.5,3.8,2
Newport,"65,847","68,480","70,893",2,4.0,3.5,3
Providence,"46,277","47,734","49,392",5,3.1,3.5,4
Washington,"61,255","65,085","67,688",3,6.3,4.0,1
,,,,,,,
South Carolina,"42,227","43,912","45,438",--,4.0,3.5,--
Abbeville,"32,837","33,758","35,219",32,2.8,4.3,13
Aiken,"41,003","42,703","44,349",10,4.1,3.9,17
Allendale,"31,117","32,539","33,582",41,4.6,3.2,33
Anderson,"38,432","39,979","41,170",15,4.0,3.0,36
Bamberg,"32,172","33,598","35,203",33,4.4,4.8,7
Barnwell,"32,325","33,924","35,606",29,4.9,5.0,5
Beaufort,"54,372","57,251","59,318",2,5.3,3.6,25
Berkeley,"38,905","40,825","42,365",14,4.9,3.8,20
Calhoun,"37,411","39,664","41,136",16,6.0,3.7,22
Charleston,"58,880","61,590","63,901",1,4.6,3.8,21
Cherokee,"31,733","32,870","33,875",39,3.6,3.1,35
Chester,"32,660","33,813","35,227",31,3.5,4.2,15
Chesterfield,"29,745","31,200","32,249",44,4.9,3.4,29
Clarendon,"31,818","33,298","34,475",35,4.7,3.5,26
Colleton,"34,442","35,940","37,521",26,4.3,4.4,10
Darlington,"36,034","37,601","39,195",21,4.3,4.2,14
Dillon,"27,617","28,468","30,203",46,3.1,6.1,3
Dorchester,"37,256","39,228","40,926",17,5.3,4.3,12
Edgefield,"35,624","35,709","37,294",27,0.2,4.4,9
Fairfield,"35,399","36,592","37,834",25,3.4,3.4,28
Florence,"40,006","42,045","44,001",12,5.1,4.7,8
Georgetown,"45,594","47,586","49,341",5,4.4,3.7,23
Greenville,"46,997","48,601","49,801",4,3.4,2.5,43
Greenwood,"36,257","37,024","38,180",24,2.1,3.1,34
Hampton,"31,320","32,887","34,322",38,5.0,4.4,11
Horry,"36,224","37,805","39,028",22,4.4,3.2,32
Jasper,"27,919","30,017","31,488",45,7.5,4.9,6
Kershaw,"39,990","41,509","42,929",13,3.8,3.4,27
Lancaster,"47,772","51,102","52,396",3,7.0,2.5,42
Laurens,"33,610","34,647","35,441",30,3.1,2.3,44
Lee,"30,354","31,696","33,605",40,4.4,6.0,4
Lexington,"45,748","46,463","47,992",7,1.6,3.3,31
McCormick,"36,361","39,192","40,004",19,7.8,2.1,45
Marion,"30,192","31,639","33,569",42,4.8,6.1,2
Marlboro,"30,543","32,191","32,637",43,5.4,1.4,46
Newberry,"37,103","37,946","39,024",23,2.3,2.8,37
Oconee,"41,891","43,882","45,004",9,4.8,2.6,41
Orangeburg,"33,059","34,251","35,656",28,3.6,4.1,16
Pickens,"37,091","38,466","39,549",20,3.7,2.8,38
Richland,"44,241","45,554","47,299",8,3.0,3.8,18
Saluda,"33,548","33,478","34,353",36,-0.2,2.6,39
Spartanburg,"41,803","43,055","44,169",11,3.0,2.6,40
Sumter,"37,096","38,616","40,019",18,4.1,3.6,24
Union,"31,497","33,090","34,341",37,5.1,3.8,19
Williamsburg,"31,241","32,754","34,993",34,4.8,6.8,1
York,"45,074","47,010","48,588",6,4.3,3.4,30
,,,,,,,
South Dakota,"49,787","52,633","53,962",--,5.7,2.5,--
Aurora,"35,934","38,753","40,709",52,7.8,5.0,10
Beadle,"46,990","48,100","49,521",36,2.4,3.0,29
Bennett,"32,907","35,777","36,759",58,8.7,2.7,32
Bon Homme,"35,544","38,758","40,713",51,9.0,5.0,11
Brookings,"43,897","46,254","47,782",40,5.4,3.3,22
Brown,"50,824","54,846","55,397",15,7.9,1.0,43
Brule,"44,430","46,607","45,320",44,4.9,-2.8,52
Buffalo,"24,207","23,229","20,682",65,-4.0,-11.0,66
Butte,"37,189","38,084","38,449",56,2.4,1.0,44
Campbell,"43,761","53,284","48,544",38,21.8,-8.9,65
Charles Mix,"35,659","40,138","41,567",50,12.6,3.6,20
Clark,"42,966","48,248","46,281",42,12.3,-4.1,58
Clay,"36,382","39,133","40,589",53,7.6,3.7,18
Codington,"47,061","49,687","51,250",29,5.6,3.1,25
Corson,"27,774","26,821","27,114",62,-3.4,1.1,40
Custer,"46,499","48,150","49,665",35,3.6,3.1,24
Davison,"49,185","51,561","53,275",21,4.8,3.3,21
Day,"43,959","48,466","46,087",43,10.3,-4.9,59
Deuel,"48,542","50,988","52,808",24,5.0,3.6,19
Dewey,"36,665","36,432","38,051",57,-0.6,4.4,13
Douglas,"47,057","52,133","59,855",8,10.8,14.8,1
Edmunds,"46,992","57,450","54,210",19,22.3,-5.6,62
Fall River,"45,059","46,316","48,186",39,2.8,4.0,17
Faulk,"44,713","55,357","56,814",12,23.8,2.6,33
Grant,"55,385","55,549","57,365",11,0.3,3.3,23
Gregory,"42,404","44,506","44,981",45,5.0,1.1,41
Haakon,"47,421","56,915","51,865",27,20.0,-8.9,64
Hamlin,"42,161","44,636","44,145",47,5.9,-1.1,50
Hand,"51,747","57,967","54,579",16,12.0,-5.8,63
Hanson,"57,488","62,565","65,135",5,8.8,4.1,15
Harding,"51,594","46,303","50,170",33,-10.3,8.4,5
Hughes,"52,073","52,231","54,352",18,0.3,4.1,16
Hutchinson,"46,391","51,329","56,811",13,10.6,10.7,2
Hyde,"54,849","50,710","48,836",37,-7.5,-3.7,57
Jackson,"26,542","28,028","27,278",61,5.6,-2.7,51
Jerauld,"39,670","40,815","39,599",55,2.9,-3.0,54
Jones,"52,533","53,737","58,796",9,2.3,9.4,3
Kingsbury,"49,809","55,813","57,495",10,12.1,3.0,27
Lake,"50,892","48,949","51,119",30,-3.8,4.4,14
Lawrence,"48,188","51,310","52,919",23,6.5,3.1,26
Lincoln,"66,066","69,094","70,461",4,4.6,2.0,37
Lyman,"38,360","41,966","41,809",49,9.4,-0.4,48
McCook,"46,401","49,388","53,322",20,6.4,8.0,6
McPherson,"39,490","45,966","43,635",48,16.4,-5.1,61
Marshall,"40,376","48,330","49,754",34,19.7,2.9,30
Meade,"41,633","43,533","44,365",46,4.6,1.9,38
Mellette,"30,625","31,332","31,131",60,2.3,-0.6,49
Miner,"42,164","47,938","50,603",32,13.7,5.6,7
Minnehaha,"55,263","58,201","59,905",7,5.3,2.9,31
Moody,"46,070","51,119","51,866",26,11.0,1.5,39
Oglala Lakota,"24,498","25,263","25,840",64,3.1,2.3,36
Pennington,"49,505","51,801","53,071",22,4.6,2.5,35
Perkins,"43,771","39,961","40,282",54,-8.7,0.8,45
Potter,"65,492","69,358","72,468",3,5.9,4.5,12
Roberts,"34,420","38,113","36,756",59,10.7,-3.6,56
Sanborn,"40,943","47,835","52,093",25,16.8,8.9,4
Spink,"53,075","57,727","55,810",14,8.8,-3.3,55
Stanley,"64,378","59,324","62,601",6,-7.9,5.5,8
Sully,"72,393","77,126","73,244",2,6.5,-5.0,60
Todd,"24,234","25,417","26,172",63,4.9,3.0,28
Tripp,"46,454","50,969","51,501",28,9.7,1.0,42
Turner,"56,153","51,792","54,445",17,-7.8,5.1,9
Union,"102,912","116,776","117,055",1,13.5,0.2,46
Walworth,"45,239","46,493","46,589",41,2.8,0.2,47
Yankton,"46,782","49,784","51,011",31,6.4,2.5,34
Ziebach,"19,390","20,507","19,940",66,5.8,-2.8,53
,,,,,,,
Tennessee,"45,233","47,210","48,684",--,4.4,3.1,--
Anderson,"40,526","41,993","43,045",17,3.6,2.5,79
Bedford,"36,322","37,468","38,667",46,3.2,3.2,55
Benton,"32,811","33,484","34,482",71,2.1,3.0,62
Bledsoe,"24,775","25,838","27,113",94,4.3,4.9,11
Blount,"41,605","44,070","45,222",11,5.9,2.6,74
Bradley,"38,081","39,453","40,712",31,3.6,3.2,56
Campbell,"32,452","33,677","34,655",69,3.8,2.9,66
Cannon,"34,892","35,228","36,713",56,1.0,4.2,24
Carroll,"34,974","35,607","37,529",51,1.8,5.4,7
Carter,"32,944","33,840","34,691",68,2.7,2.5,78
Cheatham,"42,331","44,198","46,138",10,4.4,4.4,17
Chester,"32,321","33,690","34,800",66,4.2,3.3,52
Claiborne,"33,835","35,168","35,996",58,3.9,2.4,83
Clay,"30,188","30,811","31,056",88,2.1,0.8,93
Cocke,"31,159","32,282","33,340",81,3.6,3.3,53
Coffee,"37,554","38,762","40,415",33,3.2,4.3,22
Crockett,"36,133","38,554","40,735",30,6.7,5.7,5
Cumberland,"36,096","36,771","37,720",49,1.9,2.6,76
Davidson,"63,101","68,958","71,252",2,9.3,3.3,48
Decatur,"39,614","41,372","41,949",25,4.4,1.4,92
DeKalb,"38,435","40,029","40,280",38,4.1,0.6,94
Dickson,"39,137","40,532","42,088",24,3.6,3.8,31
Dyer,"39,031","40,416","42,552",21,3.5,5.3,8
Fayette,"53,797","54,706","56,361",3,1.7,3.0,60
Fentress,"31,188","32,574","33,727",77,4.4,3.5,39
Franklin,"37,725","38,954","40,370",34,3.3,3.6,36
Gibson,"36,723","38,039","39,892",40,3.6,4.9,13
Giles,"37,791","38,281","38,934",45,1.3,1.7,89
Grainger,"32,176","33,867","34,983",65,5.3,3.3,51
Greene,"35,347","36,271","37,287",53,2.6,2.8,68
Grundy,"30,979","32,241","33,635",78,4.1,4.3,18
Hamblen,"35,904","37,298","38,304",48,3.9,2.7,72
Hamilton,"50,060","51,846","53,360",4,3.6,2.9,64
Hancock,"25,849","26,927","28,083",93,4.2,4.3,19
Hardeman,"28,424","29,306","30,977",90,3.1,5.7,4
Hardin,"37,295","39,397","40,331",36,5.6,2.4,82
Hawkins,"32,966","34,291","35,077",64,4.0,2.3,84
Haywood,"32,165","33,639","35,920",60,4.6,6.8,3
Henderson,"34,485","35,676","36,986",55,3.5,3.7,35
Henry,"40,032","40,742","42,407",22,1.8,4.1,25
Hickman,"31,408","32,655","33,840",75,4.0,3.6,37
Houston,"31,139","31,986","33,635",78,2.7,5.2,9
Humphreys,"37,929","38,045","39,784",41,0.3,4.6,15
Jackson,"29,257","30,727","31,676",86,5.0,3.1,59
Jefferson,"34,723","36,476","37,494",52,5.0,2.8,69
Johnson,"31,404","31,951","33,058",82,1.7,3.5,45
Knox,"48,102","50,531","51,758",5,5.0,2.4,80
Lake,"22,161","21,997","25,772",95,-0.7,17.2,1
Lauderdale,"28,406","29,908","31,976",84,5.3,6.9,2
Lawrence,"33,852","34,511","35,983",59,1.9,4.3,21
Lewis,"32,834","34,672","36,378",57,5.6,4.9,12
Lincoln,"39,136","40,102","42,134",23,2.5,5.1,10
Loudon,"47,033","48,812","50,154",9,3.8,2.7,71
McMinn,"34,791","36,337","37,601",50,4.4,3.5,44
McNairy,"31,353","32,769","33,914",74,4.5,3.5,43
Macon,"32,183","32,838","33,535",80,2.0,2.1,86
Madison,"41,673","42,639","44,135",14,2.3,3.5,41
Marion,"37,882","38,998","40,365",35,2.9,3.5,42
Marshall,"36,457","37,698","39,173",43,3.4,3.9,26
Maury,"41,068","42,645","44,246",13,3.8,3.8,33
Meigs,"32,837","33,210","34,472",72,1.1,3.8,32
Monroe,"32,271","33,702","34,720",67,4.4,3.0,61
Montgomery,"40,942","41,733","43,028",18,1.9,3.1,58
Moore,"38,697","39,691","41,565",27,2.6,4.7,14
Morgan,"28,596","29,857","30,962",91,4.4,3.7,34
Obion,"39,107","40,963","42,717",19,4.7,4.3,20
Overton,"32,888","34,120","35,085",63,3.7,2.8,67
Perry,"32,569","34,344","34,522",70,5.4,0.5,95
Pickett,"38,414","39,018","39,569",42,1.6,1.4,91
Polk,"32,517","33,163","34,234",73,2.0,3.2,54
Putnam,"38,633","39,494","40,223",39,2.2,1.8,87
Rhea,"33,006","34,222","35,424",62,3.7,3.5,40
Roane,"39,280","40,730","41,917",26,3.7,2.9,65
Robertson,"40,662","42,067","43,856",15,3.5,4.3,23
Rutherford,"39,812","41,302","42,712",20,3.7,3.4,47
Scott,"28,639","30,501","31,046",89,6.5,1.8,88
Sequatchie,"36,285","37,687","39,154",44,3.9,3.9,27
Sevier,"38,352","40,024","41,136",29,4.4,2.8,70
Shelby,"47,718","49,417","50,744",7,3.6,2.7,73
Smith,"36,429","38,797","40,290",37,6.5,3.8,30
Stewart,"39,093","39,620","41,155",28,1.3,3.9,28
Sullivan,"41,087","42,926","43,610",16,4.5,1.6,90
Sumner,"46,708","48,598","50,213",8,4.0,3.3,49
Tipton,"37,622","39,005","40,514",32,3.7,3.9,29
Trousdale,"28,946","30,480","31,835",85,5.3,4.4,16
Unicoi,"34,643","36,220","37,278",54,4.6,2.9,63
Union,"30,925","32,080","32,853",83,3.7,2.4,81
Van Buren,"29,387","30,538","31,628",87,3.9,3.6,38
Warren,"33,763","34,578","35,453",61,2.4,2.5,77
Washington,"42,006","43,629","44,593",12,3.9,2.2,85
Wayne,"26,462","28,050","28,922",92,6.0,3.1,57
Weakley,"35,359","36,491","38,465",47,3.2,5.4,6
White,"31,824","32,640","33,761",76,2.6,3.4,46
Williamson,"91,669","92,644","95,053",1,1.1,2.6,75
Wilson,"47,410","49,243","50,875",6,3.9,3.3,50
,,,,,,,
Texas,"48,394","51,136","52,813",--,5.7,3.3,--
Anderson,"32,759","34,363","36,027",223,4.9,4.8,53
Andrews,"45,435","50,776","51,769",58,11.8,2.0,201
Angelina,"37,347","38,899","39,644",189,4.2,1.9,203
Aransas,"45,597","50,184","51,614",60,10.1,2.8,169
Archer,"47,778","49,601","52,335",55,3.8,5.5,39
Armstrong,"46,128","52,201","53,422",50,13.2,2.3,192
Atascosa,"35,517","36,686","37,644",208,3.3,2.6,180
Austin,"48,176","49,449","51,118",62,2.6,3.4,114
Bailey,"42,853","43,590","44,665",117,1.7,2.5,186
Bandera,"41,871","43,664","44,925",112,4.3,2.9,167
Bastrop,"35,202","36,676","38,289",201,4.2,4.4,65
Baylor,"42,420","44,172","46,615",86,4.1,5.5,38
Bee,"27,687","28,692","29,792",249,3.6,3.8,87
Bell,"42,147","42,687","43,919",134,1.3,2.9,168
Bexar,"44,170","46,531","47,830",79,5.3,2.8,171
Blanco,"50,806","53,189","54,814",43,4.7,3.1,148
Borden,"46,175","67,094","61,287",24,45.3,-8.7,252
Bosque,"39,436","41,271","42,366",147,4.7,2.7,178
Bowie,"39,187","40,048","41,172",168,2.2,2.8,170
Brazoria,"45,864","46,744","48,374",77,1.9,3.5,106
Brazos,"37,426","40,124","41,348",164,7.2,3.1,149
Brewster,"43,291","46,109","48,422",76,6.5,5.0,49
Briscoe,"40,410","44,709","44,413",123,10.6,-0.7,234
Brooks,"33,131","35,049","36,558",219,5.8,4.3,69
Brown,"37,366","39,053","39,661",187,4.5,1.6,209
Burleson,"41,379","44,380","45,970",97,7.3,3.6,99
Burnet,"45,129","48,220","49,731",69,6.8,3.1,138
Caldwell,"32,209","33,073","34,617",230,2.7,4.7,59
Calhoun,"37,583","43,679","46,208",93,16.2,5.8,36
Callahan,"37,514","40,027","41,962",157,6.7,4.8,54
Cameron,"27,622","28,940","29,928",247,4.8,3.4,109
Camp,"36,760","37,381","37,111",215,1.7,-0.7,235
Carson,"43,496","44,495","48,571",75,2.3,9.2,6
Cass,"35,133","36,572","37,566",210,4.1,2.7,176
Castro,"62,749","59,181","64,427",16,-5.7,8.9,10
Chambers,"52,485","54,718","56,610",37,4.3,3.5,107
Cherokee,"33,303","34,754","35,245",228,4.4,1.4,215
Childress,"29,305","30,084","30,731",245,2.7,2.2,198
Clay,"40,561","42,411","44,295",128,4.6,4.4,62
Cochran,"38,066","39,941","39,333",194,4.9,-1.5,238
Coke,"39,228","40,684","41,669",160,3.7,2.4,189
Coleman,"39,377","40,501","42,683",144,2.9,5.4,43
Collin,"63,911","66,343","68,474",12,3.8,3.2,127
Collingsworth,"37,574","39,173","42,026",155,4.3,7.3,22
Colorado,"44,761","45,374","46,909",85,1.4,3.4,112
Comal,"56,841","58,885","60,056",29,3.6,2.0,200
Comanche,"38,886","40,812","43,242",137,5.0,6.0,33
Concho,"31,897","33,614","35,758",224,5.4,6.4,28
Cooke,"50,625","51,205","52,875",53,1.1,3.3,123
Coryell,"33,261","34,476","35,570",226,3.7,3.2,132
Cottle,"60,087","61,978","60,260",28,3.1,-2.8,244
Crane,"42,923","48,609","51,025",63,13.2,5.0,50
Crockett,"39,277","42,228","44,458",122,7.5,5.3,45
Crosby,"33,399","36,474","37,580",209,9.2,3.0,154
Culberson,"46,813","54,599","59,506",32,16.6,9.0,8
Dallam,"65,231","59,900","64,756",15,-8.2,8.1,16
Dallas,"56,609","60,780","62,782",20,7.4,3.3,119
Dawson,"36,639","41,686","40,131",178,13.8,-3.7,249
Deaf Smith,"51,368","49,329","52,368",54,-4.0,6.2,31
Delta,"38,716","38,752","40,622",174,0.1,4.8,55
Denton,"54,078","57,495","59,414",33,6.3,3.3,116
DeWitt,"52,478","57,967","59,389",34,10.5,2.5,187
Dickens,"31,203","32,818","33,843",232,5.2,3.1,139
Dimmit,"34,442","37,317","38,800",198,8.3,4.0,80
Donley,"42,572","46,505","45,531",104,9.2,-2.1,241
Duval,"35,210","37,931","39,029",195,7.7,2.9,166
Eastland,"61,016","77,657","78,826",8,27.3,1.5,211
Ector,"42,824","48,449","50,161",67,13.1,3.5,102
Edwards,"37,055","41,380","45,429",107,11.7,9.8,3
Ellis,"42,874","44,348","45,968",98,3.4,3.7,94
El Paso,"34,601","36,358","37,715",206,5.1,3.7,90
Erath,"37,009","38,818","40,462",176,4.9,4.2,71
Falls,"33,386","34,791","35,258",227,4.2,1.3,217
Fannin,"36,964","38,161","39,830",183,3.2,4.4,67
Fayette,"50,980","52,871","54,552",45,3.7,3.2,131
Fisher,"39,553","49,172","44,630",119,24.3,-9.2,253
Floyd,"39,234","41,243","44,646",118,5.1,8.3,14
Foard,"41,812","46,435","44,895",113,11.1,-3.3,246
Fort Bend,"55,584","57,851","59,653",31,4.1,3.1,141
Franklin,"38,365","40,260","41,307",165,4.9,2.6,181
Freestone,"35,541","36,966","38,182",202,4.0,3.3,120
Frio,"28,448","29,160","30,223",246,2.5,3.6,95
Gaines,"39,672","41,173","44,405",124,3.8,7.8,18
Galveston,"49,931","52,536","54,250",46,5.2,3.3,122
Garza,"28,465","31,325","32,601",240,10.0,4.1,77
Gillespie,"59,077","61,754","63,291",19,4.5,2.5,184
Glasscock,"83,038","85,914","84,623",4,3.5,-1.5,237
Goliad,"41,335","43,770","45,589",103,5.9,4.2,73
Gonzales,"42,013","45,897","44,789",116,9.2,-2.4,242
Gray,"41,647","42,497","44,127",129,2.0,3.8,86
Grayson,"40,793","42,480","43,987",130,4.1,3.5,100
Gregg,"43,651","45,845","47,109",84,5.0,2.8,173
Grimes,"34,333","35,523","36,909",217,3.5,3.9,84
Guadalupe,"43,373","44,361","45,797",100,2.3,3.2,126
Hale,"32,054","33,551","35,633",225,4.7,6.2,30
Hall,"33,158","33,646","33,095",235,1.5,-1.6,240
Hamilton,"57,650","58,038","60,584",27,0.7,4.4,66
Hansford,"63,570","61,020","65,330",13,-4.0,7.1,25
Hardeman,"38,202","41,891","42,023",156,9.7,0.3,227
Hardin,"44,055","46,100","47,221",82,4.6,2.4,188
Harris,"54,325","58,235","60,002",30,7.2,3.0,152
Harrison,"40,159","41,515","42,891",143,3.4,3.3,117
Hartley,"76,545","71,979","81,238",6,-6.0,12.9,2
Haskell,"34,904","37,407","39,899",181,7.2,6.7,27
Hays,"41,725","43,395","45,332",108,4.0,4.5,61
Hemphill,"56,478","55,367","57,053",36,-2.0,3.0,151
Henderson,"38,227","38,743","40,135",177,1.3,3.6,98
Hidalgo,"25,712","26,615","27,415",253,3.5,3.0,156
Hill,"38,181","40,129","41,240",166,5.1,2.8,172
Hockley,"40,537","41,227","42,162",153,1.7,2.3,193
Hood,"49,589","49,806","51,384",61,0.4,3.2,134
Hopkins,"38,102","40,144","41,562",161,5.4,3.5,103
Houston,"36,622","38,384","39,609",190,4.8,3.2,129
Howard,"37,588","42,999","43,348",136,14.4,0.8,222
Hudspeth,"33,642","22,508","23,569",254,-33.1,4.7,56
Hunt,"36,583","37,701","38,892",197,3.1,3.2,135
Hutchinson,"39,916","42,141","43,981",131,5.6,4.4,68
Irion,"67,749","71,336","72,177",10,5.3,1.2,221
Jack,"39,619","43,580","40,827",173,10.0,-6.3,251
Jackson,"40,589","42,469","46,596",87,4.6,9.7,4
Jasper,"39,141","39,752","40,834",172,1.6,2.7,175
Jeff Davis,"40,229","41,865","43,080",139,4.1,2.9,163
Jefferson,"42,349","43,515","44,613",120,2.8,2.5,183
Jim Hogg,"30,513","32,177","33,602",233,5.5,4.4,63
Jim Wells,"39,305","40,555","42,174",152,3.2,4.0,79
Johnson,"40,348","42,357","43,759",135,5.0,3.3,118
Jones,"29,080","31,010","32,639",239,6.6,5.3,46
Karnes,"46,484","53,538","56,449",38,15.2,5.4,41
Kaufman,"41,538","42,797","43,972",132,3.0,2.7,174
Kendall,"82,627","80,739","81,882",5,-2.3,1.4,214
Kenedy,"41,239","39,073","42,262",149,-5.3,8.2,15
Kent,"51,208","56,694","54,630",44,10.7,-3.6,248
Kerr,"48,740","50,233","51,768",59,3.1,3.1,147
Kimble,"42,351","43,041","44,371",125,1.6,3.1,145
King,"72,716","86,917","78,849",7,19.5,-9.3,254
Kinney,"29,859","31,560","32,219",242,5.7,2.1,199
Kleberg,"38,256","40,210","41,526",162,5.1,3.3,121
Knox,"37,632","39,957","39,587",192,6.2,-0.9,236
Lamar,"40,593","41,130","43,063",140,1.3,4.7,57
Lamb,"40,823","42,153","45,655",102,3.3,8.3,13
Lampasas,"48,300","49,823","50,656",66,3.2,1.7,207
La Salle,"34,461","38,768","39,913",180,12.5,3.0,158
Lavaca,"48,724","51,800","53,483",49,6.3,3.2,124
Lee,"45,391","46,975","50,665",65,3.5,7.9,17
Leon,"37,895","39,480","40,056",179,4.2,1.5,212
Liberty,"36,310","36,924","37,874",203,1.7,2.6,182
Limestone,"34,349","36,387","37,774",204,5.9,3.8,88
Lipscomb,"65,316","72,844","77,810",9,11.5,6.8,26
Live Oak,"33,751","36,134","37,415",212,7.1,3.5,101
Llano,"46,554","48,162","49,905",68,3.5,3.6,97
Loving,"53,692","51,730","53,734",48,-3.7,3.9,85
Lubbock,"40,986","43,025","44,311",126,5.0,3.0,157
Lynn,"39,212","40,151","43,141",138,2.4,7.4,20
McCulloch,"37,337","39,147","38,895",196,4.8,-0.6,233
McLennan,"39,866","41,410","42,159",154,3.9,1.8,206
McMullen,"65,779","64,264","65,250",14,-2.3,1.5,210
Madison,"30,053","31,358","32,648",238,4.3,4.1,76
Marion,"36,412","38,376","39,895",182,5.4,4.0,81
Martin,"52,754","64,815","60,844",26,22.9,-6.1,250
Mason,"44,182","46,547","47,439",81,5.4,1.9,202
Matagorda,"40,859","42,730","45,237",109,4.6,5.9,35
Maverick,"28,694","30,495","31,380",243,6.3,2.9,164
Medina,"38,234","39,753","41,095",170,4.0,3.4,113
Menard,"33,454","36,067","37,218",214,7.8,3.2,130
Midland,"111,017","129,340","130,983",1,16.5,1.3,220
Milam,"35,376","35,510","37,238",213,0.4,4.9,52
Mills,"36,518","38,176","39,334",193,4.5,3.0,153
Mitchell,"32,158","33,539","33,593",234,4.3,0.2,228
Montague,"39,408","41,032","42,230",151,4.1,2.9,161
Montgomery,"61,350","61,767","63,424",18,0.7,2.7,177
Moore,"41,903","43,021","46,108",94,2.7,7.2,24
Morris,"40,834","40,825","41,068",171,0.0,0.6,225
